Date,Name,Title,Body
17.01.2021 21:51,Selenokhod,Drei Staffeln durchgehalten? Respekt!,Also für mich war nach wenigen Folgen in der ersten Staffel Schicht...das ist einfach nicht Star Trek. Das kann gerne seine Berechtigung haben und hat bestimmt auch seine Fans...für mich war das bereits sehr früh als Etikettenschwindel erkennbar. Da hat man Star Trek draufgeklebt um Zuschauer zu ködern. Einige Male noch sehr penetrant bei Netflix als Empfehlung bekommen aber nach Abwertung ist es aus der Liste verschwunden.
07.01.2021 13:05,Selenokhod,Tipp: Shelter auf Android,"Wer unbedingt WhatsApp nutzen ""muss"" kann die Anwendung mit der App Shelter (Android) in eine Sandbox stecken. Dort wird auch auf privaten Geräten ein Android ""work"" Profile erstellt und WhatsApp bekommt nur Zugriff auf die dort verfügbaren Daten. Auf diese Weise kann man sein gewöhnliches Adressbuch vor der App abschirmen (ich persönlich traue der Kontaktfreigabe nicht) und z.B. nur die wirklich notwendigen WhatsApp Kontakte in der Sandbox vorhalten."
05.01.2021 17:31,Selenokhod,Keiner kann dazu was sagen?,echt nicht?
04.01.2021 13:06,Selenokhod,Gepinnte Beiträge?,"Mir sind seit kurzem die gepinnten Beiträge unter einigen Artikeln aufgefallen. Wer und nach welchen Vorgaben wird entschieden, ob ein Beitrag ""gepinnt"" wird? Ich habe das irgendwie nicht mitbekommen."
03.01.2021 22:23,Selenokhod,Re: Dieses Forum zeigt einmal mehr warum China der Sieger sein wird.,"Eigentlich weiß man überhaupt nicht, wo man bei diesem Beitrag anfangen soll?"
03.01.2021 21:23,Selenokhod,Wichtiges Thema,"Leider aber nicht verständlich für den Leser aufbereitet sondern offensichtlich für das eigene Ego verfasst. Deshalb lohnt es sich eigentlich nicht wirklich, auf den Inhalt einzugehen."
02.01.2021 22:22,Selenokhod,Bundestag klingt so kryptisch...,"""Neuber arbeitet als wissenschaftlicher Mitarbeiter der Partei Die Linke bei der Bundestagsabgeordneten Heike Hänsel."""
31.12.2020 18:58,Selenokhod,"Re: ""Hackerkongress""",Joshi schrieb am 31.12.2020 14:12:
25.12.2020 10:52,Selenokhod,Re: schade das es der Datenschutz nicht zulässt,Lochkarte schrieb am 25.12.2020 08:53:
25.12.2020 02:19,Selenokhod,Re: schade das es der Datenschutz nicht zulässt,stefanfd schrieb am 24.12.2020 21:36:
25.12.2020 01:44,Selenokhod,Re: Impft die Risikogruppen,Yeti a.D. schrieb am 24.12.2020 20:09:
25.12.2020 01:24,Selenokhod,Re: Bashing und Verschwörungen bei Heise und Telepolis,Rallinger schrieb am 24.12.2020 11:12:
24.12.2020 19:59,Selenokhod,Unsinnig,"Je mehr Druck auf Menschen ausgeübt wird sich impfen zu lassen desto mehr wird die Impfung  abgelehnt werden. Auch hier gilt der alte Satz: ""Bewegungen wachsen am Widerstand"""
21.12.2020 19:10,Selenokhod,Bereits in Belgien und Italien,Der neue Stamm ist bereits in Belgien und Italien nachgewiesen worden:
21.12.2020 15:29,Selenokhod,Steuereinnahmen brechen weg...,Der Hauptgrund für diese Entscheidung dürfte in den wegbrechenden Steuereinnahmen zu finden sein. Der Staat braucht Geld...so einfach ist das. Und warum dieses nicht gleich von der Logistik- und Onlinewirtschaft holen? Die hat es ja...
18.12.2020 18:46,Selenokhod,Re: abgerutscht...,igra5000 schrieb am 18.12.2020 17:49:
18.12.2020 17:25,Selenokhod,Re: Eher: Risikoabwägung,sou schrieb am 18.12.2020 17:21:
18.12.2020 17:08,Selenokhod,Grundproblem: Vertrauen,Nur ein Gedanke zu der Debatte Impfen/Nicht-Impfen.
18.12.2020 16:53,Selenokhod,Du hast Recht - Mein fehler...,"Sorry, hab das oben korrigiert."
18.12.2020 16:45,Selenokhod,kann weg,Ich verstehe nicht weshalb das wortgleich schon von einem anderen account gepostet wurde?
18.12.2020 16:41,Selenokhod,Re: Mal eine Andere Frage,wostock schrieb am 18.12.2020 16:14:
18.12.2020 16:36,Selenokhod,Re: Mal eine Andere Frage,Rubbel Die Katz schrieb am 18.12.2020 16:17:
18.12.2020 16:06,Selenokhod,Re: Mal eine Andere Frage,Rubbel Die Katz schrieb am 18.12.2020 15:56:
18.12.2020 15:40,Selenokhod,Ganze Impfdebatte übertrieben,Ich persönlich halte die ganze Impfdebatte für völlig übertrieben:
13.12.2020 21:04,Selenokhod,Re: @heise Verlag - Anfrage,XXIII schrieb am 13.12.2020 19:11:
06.12.2020 17:09,Selenokhod,Er will sich eben für nächstes Jahr profilieren...,..als durchsetzungsstarker Macho von der Isar. Quasi die Antithese zur Mutti aus MekPom.
06.12.2020 13:02,Selenokhod,Vertrauensproblem aus der Spieltheorie,"Das ganze Thema um Impfen, Nicht-Impfen, Übersterblichkeit, Corona, ... ist IMO nur die ""Rationalisierung"" eines bereits lange vor Corona bestehenden Vertrauensproblems."
20.11.2020 14:53,Selenokhod,Re: telegram.org,ju schrieb am 20.11.2020 14:01:
20.11.2020 13:18,Selenokhod,Re: telegram.org,ju schrieb am 20.11.2020 12:58:
20.11.2020 12:07,Selenokhod,telegram.org,Vor der Telegram Webseite:
20.11.2020 11:01,Selenokhod,Re: Wenn Alternativmedien den Mainstream als Verbreitungs-Plattform nutzen,exkoelner schrieb am 20.11.2020 10:56:
20.11.2020 10:43,Selenokhod,Den Informationskrieg des 21. Jahrhunderts...,...gewinnt man nicht mit den Waffen des 20. Jahrhunderts.
16.11.2020 15:19,Selenokhod,"Re: Anfangs war ich dafür, jetzt bin ich dagegen. Wie es dazu kam?",dumblederp schrieb am 16.11.2020 10:54:
15.11.2020 21:53,Selenokhod,Ich gönne wirklich jedem sein Home office...,Schließlich verbringe ich auch schon einige Monate so.
02.11.2020 11:07,Selenokhod,Next step...,https://en.wikipedia.org/wiki/Memory_hole
22.09.2020 11:28,Selenokhod,Interessant...,"Interessant sind diese Angriffe schon. Ich glaube irgendwie nicht daran, dass von Tutanota sehr viel Geld im Rahmen einer Erpressung zu holen ist. Die Firma hat auch nichts dergleichen verlautbart. Trotzdem klingt das recht zielgerichtet."
17.08.2020 16:14,Selenokhod,Re: Aktuelle Alternativen zu Threema & Telegram?,"Signal, element.io, Wire, ..."
15.08.2020 19:25,Selenokhod,"Re: Tja, unter 400 Millionen monatlich aktiven Nutzern...",Merlin Schumacher schrieb am 15.08.2020 17:00:
15.08.2020 15:27,Selenokhod,"Re: Tja, unter 400 Millionen monatlich aktiven Nutzern...",Merlin Schumacher schrieb am 15.08.2020 12:08:
14.08.2020 23:55,Selenokhod,"Tja, unter 400 Millionen monatlich aktiven Nutzern...","...gibt es auch Drogendealer und Nazis. Alles andere wäre aber auch irgendwie seltsam, oder?"
12.08.2020 13:27,Selenokhod,An sich ein sehr guter Artikel,"Allerdings drücken sich die ""totalitären Tendenzen"" unserer Zeit nicht nur in rechten Parteien und ihrer Wählerschaft aus."
26.07.2020 20:11,Selenokhod,Re: Nur so eine Idee...,YelloPerilo schrieb am 26.07.2020 19:30:
26.07.2020 19:21,Selenokhod,Re: Nur so eine Idee...,YelloPerilo schrieb am 26.07.2020 16:05:
26.07.2020 15:38,Selenokhod,Re: Nur so eine Idee...,So ganz ohne ausländisches Kapital und KnowHow? Mit inländischen Absatzmärkten?
26.07.2020 12:46,Selenokhod,Wer hat China eigentlich so groß gemacht?,"Ja, wir sind längst in einer Neuauflage des kalten Krieges. Nur wer hat eigentlich China in den vergangenen 30 Jahren so groß werden lassen? Wo kam das Geld her, ein Land welches in weiten Teilen auf dem Niveau der 3. Welt war, finanziel so hochzurüsten? Warum ist dieses Geld ausgerechnet nach China geflossen und nicht in andere Regionen, deren politisches System weniger Probleme versprach?"
25.07.2020 16:14,Selenokhod,Ganz etwas anderes bedroht die aktuelle Verschlüsselung:,https://www.danisch.de/blog/2020/07/25/vom-ende-der-verschluesselung-vom-ende-der-kommunikationsfreiheit/#more-37097
25.07.2020 14:37,Selenokhod,Wieso nicht einfach selbst entscheiden?,"Wer sich schützen will, trägt eine FFPx Maske und trifft die notwendigen Maßnahmen."
22.07.2020 17:46,Selenokhod,Re: Soweit das Harmlose,"Sorry, dass ist irgendwie nur noch verwirrendes Zeug. Was haben Prepper mit Reichsbürgern zu tun? Es mag unter den Reichsbürgern Prepper geben und umgekehrt... aber weiter?"
22.07.2020 15:26,Selenokhod,Misstrauensvotum gegenüber dem staatlichen Krisenmanagement?,"Ich kann mir nicht helfen, aber ich bekomme beim Lesen des Artikels den Eindruck, hier wird versucht einer Gruppe die Konserven im Keller hortet eine politische Agenda zu unterstellen."
10.07.2020 23:16,Selenokhod,"Re: Keine Wehrpflicht, aber eine allgemeine Dienstpflicht oder besser noch",mj81 schrieb am 09.07.2020 13:29:
10.07.2020 19:36,Selenokhod,Re: Telegram beginnt zu stören,Pan Rossi schrieb am 10.07.2020 19:08:
10.07.2020 18:35,Selenokhod,Weil Telegram inzwischen 400 Millionen Naz...äh Nutzer hat.,"Deshalb und weil es technisch auch sehr spannende Features liefert (Bots, APIs, ...) beginnt es möglicherweise (nur möglicherweise!) einen gewissen Mark Z. zu stören. Dem sind Plattformen wie Matrix mit ihren xk Nutzern hingegen völlig wurscht."
10.07.2020 18:29,Selenokhod,Re: Telegram beginnt zu stören,mix schrieb am 10.07.2020 17:28:
10.07.2020 15:09,Selenokhod,Re: Telegram beginnt zu stören,mix schrieb am 10.07.2020 15:03:
10.07.2020 14:55,Selenokhod,Telegram beginnt zu stören,Der Druck auf Telegram hat jüngst enorm zugenommen:
10.07.2020 12:10,Selenokhod,Sommerlochthema,Bitte weitergehen...hier gibt es nichts zu sehen.
08.07.2020 18:46,Selenokhod,Re: Je öfter der MSM vor Verschwörungstheorien warnt,Golfspieler schrieb am 08.07.2020 13:51:
17.06.2020 12:34,Selenokhod,Re: Erschreckend Tech-Nerd-Naive Berichterstattung,m.o.s. schrieb am 16.06.2020 23:08:
07.04.2020 15:09,Selenokhod,Ehemaliger BMI Abteilungsleiter fordert eine App verpflichtend zu machen (Link),Der ehem. BMI Abteilungsleiter Schallbruch (https://de.wikipedia.org/wiki/Martin_Schallbruch) möchte die App und Mundschutz gerne verpflichtend für alle machen:
07.04.2020 15:03,Selenokhod,Bitte korrigiert mich...,"aber im Augenblick geht es in diesem(!) Artikel ja (noch) nicht um eine App, oder?"
05.04.2020 12:31,Selenokhod,Verstehe ich nicht...,Eine kleine Firma bringt ein vergleichsweise erschwingliches Smartphone mit Ubuntu touch auf den Markt.
20.03.2020 10:46,Selenokhod,Re: An dieser Stelle habe ich aufgehört zu lesen:,blckguard schrieb am 20.03.2020 02:26:
19.03.2020 15:16,Selenokhod,An dieser Stelle habe ich aufgehört zu lesen:,"Ich gebe dem Autor uneingeschränkt recht, dass ""soziale Medien"" worunter in erster Linie Facebook, WhatsApp und Twitter fallen, Brutstätten für Falschinformationen sind."
20.02.2020 11:42,Selenokhod,Wenn es nicht so einen traurigen Hintergrund hätte:,"Aus seinem ""Text"":"
19.02.2020 18:33,Selenokhod,Das wird man in einem Folgeschritt auch angehen,"z.B. indem man bestimmte Inhalte einfach nur noch mittels eines ""verifizierten Accounts"" einstellen kann."
16.02.2020 15:33,Selenokhod,Re: ich finde die Klarnamenpflicht richtig,"Zum einen verstehe ich dann nicht, weshalb Du ein Pseudonym in diesem Forum verwendest (man kann jederzeit ""Namen anzeihen"" aktivieren) und zum anderen hilft schon ein Blick in alte Usenet und IRC Archive, dass die Aussage ""früher war alles besser"" so einfach falsch ist."
16.02.2020 14:26,Selenokhod,Re: Hier geht es nicht um Strafverfolgung,mulder77 schrieb am 16.02.2020 12:50:
16.02.2020 12:00,Selenokhod,++,Absolute Zustimmung!
16.02.2020 11:40,Selenokhod,Re: Hier geht es nicht um Strafverfolgung,bakenschubbser schrieb am 16.02.2020 11:08:
16.02.2020 10:42,Selenokhod,Re: Hier geht es nicht um Strafverfolgung,"Mekderegister und Meldepflicht sind in den meisten Ländern dieser Welt völlig unbekannt. Das schließt etliche EU Länder mit ein. Ist aber natürlich dumm, wenn der eigene Horizont nicht über DACH reicht...und wahrscheinlich auch sonst nicht so weit."
15.02.2020 22:08,Selenokhod,Hier geht es nicht um Strafverfolgung,Nur ein paar Gedanken zu diesem Thema:
14.02.2020 11:55,Selenokhod,Merkels Macht basiert auf drei Säulen,Angela Merkels politische Macht basiert auf drei Säulen:
10.02.2020 14:53,Selenokhod,Bundeskanzlerin Angela Merkel vom Thron gestoßen!?,"Damit ist nun auch Bundeskanzlerin Angela Merkel vom Thron gestoßen,"
07.02.2020 14:10,Selenokhod,An der Grenze zu Hysterie...,Die ganze Situation ist für Beobachter von außen nur noch sehr schwer nachzuvollziehen. Verwandte aus Mittelamerika erkundigten sich gestern nach der Situation in Deutschland...wegen des elementar wichtigen Bundeslandes Thueringen.
06.02.2020 12:54,Selenokhod,Konzerne und öffentlicher Dienst?,"Sorry, aber die Aussage weshalb ausgerechnet Konzernmitarbeiter oder Mitarbeiter in öffentlichen Dienst die Inflation nicht merken sollen, kann ich nicht nachvollziehen."
02.02.2020 14:23,Selenokhod,Andere Theorie,In China gibt es auch eine andere (seriöse) Theorie:
28.01.2020 15:29,Selenokhod,Journalismus hat fertig.,Anders kann man es eigentlich nicht mehr auf den Punkt bringen.
23.01.2020 18:44,Selenokhod,Flugbereitschaft?,Die haben noch funktionierendes Fluggerät? Also wenn das mal kein Gerücht ist...
23.01.2020 18:41,Selenokhod,Spielzeug,Ich denke eher das CDC testet sein neustes Spielzeug unter Praxixbedingungen.
14.01.2020 11:40,Selenokhod,Die Signalanlage 111!!11!!111,Das kann man eigentlich echt nur noch Popcorn reichen. Siemens liefert die (bitte Trommelwirbel) Signalanlage(!!) für die neue Planetenvernichtungsfabrik!
10.01.2020 17:51,Selenokhod,Wie viele von diesen Artikeln braucht es eigentlich pro Woche?,Teilweise kommen ja schon zwei am Tag.
09.01.2020 18:19,Selenokhod,Undifferenziert,"Das Politiker Gewalt ausgesetzt sind oder bedroht werden ist schlicht und ergreifend nicht zu akzeptieren. Leider ist das aber kein neues Phänomen (zumindest nicht auf Bundesebene).Spätestens beim Begriff ""herabwürdigen"" würde ich aber sehr zurückhaltend werden. Es kann nämlich auch nicht sein, dass sich Politiker im Windschatten der Hatespeechdebatte gegen Kritik immunisieren. Wer sich den jüngsten Gesetzentwurf ansieht, kann aber genau diesen Eindruck bekommen. Spätestens was Kritik angeht, haben sich die Betroffenen ja bewusst für ein Leben in der Öffentlichkeit entschieden... und davon Leben sie in der Regel nicht schlecht."
06.01.2020 17:17,Selenokhod,Re: Wo bleibt die Empörung über Morddrohungen...,ludmillaZ schrieb am 06.01.2020 12:06:
06.01.2020 17:02,Selenokhod,"Die ""Rechte"" hat kein neues Thema gefunden","Die ""Rechte"" hat kein neues Thema gefunden, vielmehr haben die Gerüchten nach gut dotierten Notfall-Spindoktoren des ÖRR begonnen jede Kritik am ÖRR als ""rechts"" zu bezeichnen. Das kommt aber nach Framingmanual und dem Euphemismus ""Demokratieabgabe"" wenig überraschend."
06.01.2020 16:39,Selenokhod,Welcher Konflikt?,"Weckt mich bitte, wenn der Iran erfolgreich seine erste Kernwaffe gezündet oder seine Milizen Brooklyn kontrollieren."
31.12.2019 14:22,Selenokhod,"Re: Schade, dass nicht auch über die unschönen Sachen beim 36C3 berichtet wird,",Sumpfbacke schrieb am 31.12.2019 08:51:
28.12.2019 18:29,Selenokhod,Der Druck kommt von außen,"Der Druck die Bundeswehr massiv aufzustocken kommt nicht aus DE selbst, sondern von diversen ""Verbündeten""."
23.12.2019 19:51,Selenokhod,Reichsbürger,Das Problem bei den Reichsbürgern ist IMHO vor allem die völlige Unbestimmtheit dieser Gruppe. Da zählt inzwischen der militante aber eher unpolitische Prepper genauso dazu wie gestandene Neonnazis oder unbequeme Historiker.
23.12.2019 14:45,Selenokhod,Alter Wein in neuen Schläuchen,"Ich habe massive Zweifel, dass es bei diesem Gesetzentwurf wirklich um die Bekämpfung von Hasskriminalität geht. Wer heute öffentlich im Internet kriminelles Zeug posted wird gesperrt und strafrechtlich verfolgt. Das klappt nicht immer, aber gerade bei den größeren Plattformen immer besser."
19.12.2019 13:20,Selenokhod,Re: §15a TDG aus dem Entwurf?,"Ja, ich denke Du hast recht. Allerdings macht diese Regelung IMHO für gängige soziale Netzwerke keinen Sinn, da IMHO ohnehin alles bein Anbieter unverschlüsselt vorliegt."
19.12.2019 12:17,Selenokhod,Staatsfeindliche Hetze reloaded,Der Referentenentwurf des Vorhabens ist auf netzpolitik.org zu finden:
17.12.2019 09:54,Selenokhod,"Die Ukraine braucht Geld, Mitteleuropa Versorgungssicherheit. Win-Win!",oder etwa nicht?
01.12.2019 23:10,Selenokhod,Das ist mal wieder eines dieser Themen...,... die man getrost wieder vergessen kann.
25.11.2019 15:19,Selenokhod,Völlig unerheblich,"Völlig unerheblich. Das Thema Klimawandel hat seinen öffentlichen Aufmerksamkeits""peak"" seit Wochen überschritten und EX wird inzwischen sogar den Förderern unheimlich. Dazu haben die exzentrischen Auftritte des Gründers sicher auch beigetragen."
14.11.2019 10:02,Selenokhod,"""Ich bin kein Nazi, aber...""","""... keine Ahnung. Oder doch? Hab danach aufgehört zu lesen. Oder war es nach dem Wort"" Neofaschistisch""? Ich bin mir nicht mehr sicher"""
01.11.2019 08:45,Selenokhod,Wo in Thailand wurde dieses Bild aufgenommen?,Sieht eher nach einer internationalen Schule aus.
30.10.2019 18:25,Selenokhod,Re: Passt zu Herrn Spahn: Was scheren schon Persönlichkeitsrechte?,Captain Data schrieb am 30.10.2019 13:57:
30.10.2019 18:08,Selenokhod,"Ich lese immer ""Digitalprodukte""",Kann mich mal jemand darüber aufklären was das sein soll? Apps?
30.10.2019 11:00,Selenokhod,Re: Re: Das Problem liese sich leicht eindämmen,Orte schrieb am 30.10.2019 08:26:
30.10.2019 10:45,Selenokhod,Das glaube ich nicht,Ich glaube nicht das eine Klarnamenspflicht irgendwen daran hindert irgendwas in sozialen Netzwerken zu veröffentlichen.
10.10.2019 15:38,Selenokhod,Re: Der Sektencharakter der Bewegung...,Flake schrieb am 10.10.2019 14:53:
10.10.2019 15:32,Selenokhod,Re: Mit Verlaub:,Emma Blackoak schrieb am 10.10.2019 14:38:
10.10.2019 13:28,Selenokhod,Dein Problem ist was anderes,nämlich dein fehlendes Textverständnis.
10.10.2019 13:16,Selenokhod,Re: Der Sektencharakter der Bewegung...,SASFFF schrieb am 10.10.2019 12:44:
10.10.2019 13:12,Selenokhod,Mit Verlaub:,Emma Blackoak schrieb am 10.10.2019 13:03:
10.10.2019 12:39,Selenokhod,Der Sektencharakter der Bewegung...,"... ist für den Autor nur deshalb ein Problem, weil sich eine Sekte nur ungleich schwerer für sozialistische Experimente instrumentalisieren lässt."
08.10.2019 13:30,Selenokhod,Danke,den Blog kannte ich noch nicht.
08.10.2019 11:14,Selenokhod,Spannend...,"... ein US-Präsident zieht die Truppen ab, weil er erkannt hat, dass er keinen Blumentopf mehr gewinnen kann und das Geheul in der Presse ist groß."
26.09.2019 22:27,Selenokhod,Re: Sehr hilfreich!,"Sicher ist es gut, dass IT-Sicherheit bei KMUs mal generell thematisiert wird. Die Karte vom BSI wird euch aber nicht viel weiter bringen."
24.09.2019 13:20,Selenokhod,"Dienstag, 24. September 2024",... hab mir einen Eintrag im Kalender gemacht und den Post als Notiz eingefügt =)
24.09.2019 12:10,Selenokhod,Re: Ich kann Gretas Wut gut verstehen!,Udo Helms schrieb am 24.09.2019 11:52:
24.09.2019 11:54,Selenokhod,Re: Verstörend,zuler_tnak schrieb am 24.09.2019 11:45:
24.09.2019 11:50,Selenokhod,"Re: ""Vernichtungsphantasien""",Ich fahre kein SUV sondern pendel mit den Rad zur Arbeit. Immerhin 150km die Woche.
24.09.2019 11:49,Selenokhod,"Re: ""Vernichtungsphantasien""",afreak schrieb am 24.09.2019 11:12:
24.09.2019 11:09,Selenokhod,Verstörend,"Ich persönlich empfand den Auftritt als extrem verstörend, ganz unabhängig wie man zu der Thematik nun steht.Das ist nicht mehr gesund...da werden Vernichtungsphantasien erkennbar."
23.09.2019 17:59,Selenokhod,Privatisierung des Strafrechts,"Was hier in dieser kleinen Heisemeldung steht hat es in sich! Dabei ist es ganz unerheblich wie man zu dem Thema ""Hass im Netz"" steht. Hier wird versucht hoheitliche, staatliche Aufgaben teilzuprivatisieren. Die ""erfahrenen Partner"" der ""Zivilgesellschaft"" werden ihre ""Beratungsleistungen"" nämlich sicherlich nicht umsonst and die hessische Polizei abgeben. Zumindest indirekt wird man gut von entsprechenden Fördermillionen provitieren."
22.09.2019 14:59,Selenokhod,Einfach Nachtechnen,Russischer Hacker schrieb am 22.09.2019 13:24:
22.09.2019 12:54,Selenokhod,Vorsicht,"Die Feststellung, das bei Telepolis jetzt auch die Trolle Artikel einreichen können bringt dir eine Verschiebung auf die....Trollwiese ein"
22.09.2019 11:36,Selenokhod,Es geht um Clickbait und nicht um Inhalt,"Und da es nur Clickbait ist, will man auch gar niemanden überzeugen sondern in erster Linie polarisieren."
19.09.2019 21:39,Selenokhod,Kein Problem - Was nicht passt wird passend gemacht,"Wenn das was du schreibst tatsächlich so eintreffen sollte, würde man lediglich die Erzählung anpassen."
19.09.2019 17:55,Selenokhod,Was steckt dahinter?,"Grundsätzlich teile ich deine Skepsis und es ist auch für mich mehr als deutlich, dass die gegenwärtige Kimadebatte zumindest ""wohlwollend politisch angeschoben"" wird. Der hier immer angeführte Widerstand der ""fosilen Energieindustrie"" ist m.M. bestenfalls symbolisch, um der Show nicht den Boden zu entziehen. RWE mit seinem Berg an CO2 Zertifikaten ist ein gutes Beispiel. Für 5 EUR eingekauft inzwischen 30 EUR wert. Allenfalls aus der (deutschen) Automobilindustrie gibt es ein zurückhaltendes Murren und natürlich aus der kritischen Öffentlichkeit."
15.09.2019 21:51,Selenokhod,Re: Die normative Kraft des Faktischen,Captain Proton schrieb am 15.09.2019 21:35:
13.09.2019 12:33,Selenokhod,Ursache und Wirkung,"Ich denke die im Artikel zitierte Studie verwechselt Ursache und Wirkung. Es dürfte unstrittig sein, dass die westlich-demokratischen Systeme wie wir sie kennen inzwischen unter Druck geraten sind. Ich zweifle allerdings an, das der Populismus (der übrigens nicht nur ""rechts"" auftritt) dafür die Ursache darstellt. Vielmehr ist er ein Symptom."
04.09.2019 15:27,Selenokhod,"Re: Selbes Problem hatte die ""APO"" in den 70igern. Haben dann die taz gegründet",Der Vergleich ist mir auch schon öfters gekommen.
03.09.2019 17:05,Selenokhod,Danke kwt,.
03.09.2019 15:19,Selenokhod,"Re: Richtig, denn dumme Menschen sind vor allem eines: trotzköpfig",seyinphyin schrieb am 02.09.2019 17:32:
03.09.2019 15:14,Selenokhod,Ernstgemeinte Frage:,"So wie ich das beschriebene Verfahren verstehe, werden dabei doch lediglich die schwach- oder mittelkradikoaktiven Müllanteile von den hochradioaktiven abgetrennt."
02.09.2019 17:29,Selenokhod,Re: Hat Rezo eigentlich das Erlaubnis-Monopol auf Social Media Aktivitäten?,lollo schrieb am 02.09.2019 11:58:
02.09.2019 17:17,Selenokhod,Der größte Feind der Volksparteien sind nicht AfD oder Grüne,... es ist der Tod. Die Stammwählerschaft stirbt nämlich einfach weg.
02.09.2019 16:52,Selenokhod,Politische Bewegungen wachsen am Widerstand gegen sie,Das war in Nordirland so und an etlichen anderen Schauplätzen der jüngeren Geschichte.
01.09.2019 13:34,Selenokhod,Re: Hat Rezo eigentlich das Erlaubnis-Monopol auf Social Media Aktivitäten?,sebastian_muc schrieb am 01.09.2019 11:19:
01.09.2019 13:28,Selenokhod,Bayernprawta goes digital...,"Das erinnert mich alles an diese Ü50 Damen, die mit ihrem Tretroller zur Sbahn fahren."
01.09.2019 11:20,Selenokhod,Die Medienkrise hat Telepolis erreicht...,Trolle können jetzt Artikel einreichen!
30.08.2019 22:33,Selenokhod,Gesichtswahrung,Der Iran hat die USA und damit auch Trump öffentlich im In- und Ausland brüskiert.
28.08.2019 16:53,Selenokhod,Der Artikel lässt bei mir Fragen offen...,"Ganz ehrlich, das ist ein typischer Artikel der mehr Fragen offen lässt als er beantwortet."
27.08.2019 13:07,Selenokhod,Mimimimimi....,"Da sollen doch nun tatsächlich Videos des ÖR gekennzeichnet werden. Mit abwertenden Sätzen wie:""Dieses Video wurde durch öffentlich-rechtliche Rundfunkgebühren aus Deutschland finanziert"""
27.08.2019 13:00,Selenokhod,Ich glaube nur...,"Sputnik news, RT today, Achse des Guten und diesem Typen aus Sachsen der immer die neusten Aluhut-Kollektionen präsentiert."
27.08.2019 11:37,Selenokhod,Was steckt dahinter?,Mal abgesehen von möglichen pathologischen Zuständen (psychische Probleme) würde ich das eher der Medienkrise zuschreiben. Ein immer größerer werdender Teil der Bevölkerung glaubt einfach gar nichts mehr und stellt alles in Frage.
27.08.2019 10:56,Selenokhod,Re: Falsch,"Da sich der weit überwiegende Teil der YouTube Videos noch immer mit Filmkritiken, Haustierhaltung, Urlaubsaufnahmen und Linux-Containern beschäftigt, bezweifle ich eine große Auswirkung durch Nichtkennzeichnung."
27.08.2019 10:46,Selenokhod,Trotzdem: Uns beiden ist geholfen!,"Du findest leichter was Du suchst und ich weiß, was ich mir sparen kann. Zumindest wird es leichter..."
27.08.2019 10:28,Selenokhod,Wer hätte das gedacht! Danke Google! ++,Ich bin Google gegenüber ja häufig kritisch. Diese Kennzeichnung finde ich jedoch hervorragend!
27.08.2019 00:19,Selenokhod,Kann man sicherlich kritisch sehen...,Man kann diese Anlage sicherlich zu Recht kritisch sehen.
21.08.2019 15:01,Selenokhod,"Re: Aus d. Hoffnung das Neuanfang nur möglich ist, wenn d. Verhältnisse es erzwi",Du hast den Plan haargenau erfasst.
21.08.2019 14:31,Selenokhod,Selbst-Destruktive Strömungen sind in Politik und Gesellschaft nicht ungewöhnlic,"Derart selbst-destruktive Strömungen sind gar nicht so selten. Die speisen sich vornehmlich aus der Idee nach dem großen Zusammenbruch ein neues, viel besseres System errichten zu können. Umgekehrt betrachtet man die etablierten Großkonzerne als potentielle Gegner, die dem Wandel naturgemäß im Wege stehen. Sind diese erst beseitigt oder im eigenem Sinne umgebaut wird alles besser.Der von dir beschriebene Kolateralschaden (... man mag über die Autoindustrie denken was man will...) wird dabei billigend in Kauf genommen. Nach der ""Wende"" (wohin auch immer) wird dann alles besser und wir werden 3-4 mal so viele Arbeitsplätze bei den EE schaffen. DE ist für derartiges Gedankengut leider recht anfällig, das zeigt schon ein Blick in die jüngere Geschichte. Dazu kommt dann IMHO ein steigender Anteil von Leuten, die ihre monatlichen Gehälter aus der Stadt-, Bundes- oder Landeskasse beziehen (nein, ich meine nicht H4) und von denen nicht unerhebliche Teile meinen, die Veränderungen gingen an ihnen folgenlos vorüber."
20.08.2019 14:18,Selenokhod,Recherche? Wenn es nur das wäre....,"Das Journalisten keine Zeit für Recherchen haben, ist sicherlich der Fall (oft genug dem Druck im Mediensektor geschuldet). Es ist aber das kleinere Problem, was man am Fall Epstein gut beobachten kann."
15.08.2019 22:08,Selenokhod,Re: Es ist eine Frage de Glaubens geworden,"Wenn eine naturwissenschaftliche These, die mehrere Jahrzehnte vergleichsweise undemagogisch diskutiert wurde, plötzlich politisch derart aufgeblasen wird (geradezu pseudoreligiös - da sind wir uns einig), dann lässt das INHO zwei potentielle Schlüsse zu:"
