Date	Name	Title	Body
17.01.2021 21:51	Selenokhod	Drei Staffeln durchgehalten? Respekt!	Also für mich war nach wenigen Folgen in der ersten Staffel Schicht...das ist einfach nicht Star Trek. Das kann gerne seine Berechtigung haben und hat bestimmt auch seine Fans...für mich war das bereits sehr früh als Etikettenschwindel erkennbar. Da hat man Star Trek draufgeklebt um Zuschauer zu ködern. Einige Male noch sehr penetrant bei Netflix als Empfehlung bekommen aber nach Abwertung ist es aus der Liste verschwunden.
04.01.2021 13:06	Selenokhod	Gepinnte Beiträge?	"Mir sind seit kurzem die gepinnten Beiträge unter einigen Artikeln aufgefallen. Wer und nach welchen Vorgaben wird entschieden, ob ein Beitrag ""gepinnt"" wird? Ich habe das irgendwie nicht mitbekommen.Wenn das bereits an einer anderen Stelle diskutiert wurde, dann reicht mir auch ein Link. Danke."
02.01.2021 22:22	Selenokhod	Bundestag klingt so kryptisch...	"""Neuber arbeitet als wissenschaftlicher Mitarbeiter der Partei Die Linke bei der Bundestagsabgeordneten Heike Hänsel.""https://marjorie-wiki.de/wiki/Harald_Neuber"
31.12.2020 18:58	Selenokhod	"Re: ""Hackerkongress"""	"Joshi schrieb am 31.12.2020 14:12:Was genau hat das Thema ""Alltag in der Notaufnahme"" jetzt genau mit einem Hackerkongress zu tun?Geht's nur mir so, oder haben auch andere den Eindruck, dass der CCC im Allgemeinen und die C3-Kongresse im Besonderen von Jahr zu Jahr irgendwie belangloser und uninteressanter werden, und immer weniger mit Hacking zu tun haben?Nein, dass geht nicht nur Dir so. Fachlich ist der Kongress weitgehend tot. Das ist inzwischen eher ein Event für ""digitale Kultur"" in Richtung ""re:publica"". Das zeichnete sich bereits seit Jahren ab -  so gesehen überrascht auch dieses  Thema nicht (mehr).Genau diese Ausrichtung will der CCC aber auch, weil man damit medial viel mehr Aufmerksamkeit bekommt.Was genau hat das Thema ""Alltag in der Notaufnahme"" jetzt genau mit einem Hackerkongress zu tun?Geht's nur mir so, oder haben auch andere den Eindruck, dass der CCC im Allgemeinen und die C3-Kongresse im Besonderen von Jahr zu Jahr irgendwie belangloser und uninteressanter werden, und immer weniger mit Hacking zu tun haben?"
05.01.2021 17:31	Selenokhod	Keiner kann dazu was sagen?	echt nicht?
03.01.2021 22:23	Selenokhod	Re: Dieses Forum zeigt einmal mehr warum China der Sieger sein wird.	"Eigentlich weiß man überhaupt nicht, wo man bei diesem Beitrag anfangen soll?Bei dem Umstand, dass nach heutiger Kenntniss China die weltweite Krise überhaupt ausgelöst hat? Durch katastrophale Bedingungen auf den lokalen ""wet markets"" welche die lokalen Behörden (wahrscheinlich aufgrund Korruption) einen Dreck interessiert haben? Vielleicht waren es aber auch die Laborexperimente bei denen man auf gängige internationale Schutzmaßnahmen im Bereich ""Biosecurity"" einfach verzichtet hat ober möglicherweise gleich komplett illegale Biowaffenforschung betrieben hat?Danach hat man seinen Einfluss auf die WHO genutzt um die Erklärung des globalen Katastrophenfalles möglichst herauszuzögern. Ganz nebenbei hat man die eigenen Infektionszahlen manipuliert (wie man heute weiß um den Faktor 10) und damit der Welt eine wichtige Möglichkeit zur schnellen Gegenreaktion genommen. Kritische Journalisten und Wissenschaftler hat man verschwinden lassen...Bitte leiste uns den Gefallen und zieh doch nach China! Dort kannst Du die lokalen Arbeitnehmer- und Bürgerrechte genießen!Ein Vorteil hätte dein Umzug. Wir brauchen solche Kommentare nicht mehr zu lesen. Meinungsfreiheit gibt es da nämlich auch nicht.Im übrigen ist der KPCh auch einen Schei...dreck am Allgemeinwohl seiner Bürger interessiert. Die interessiert lediglich ihr eigenes Bankkonto (üblicherweise im Ausland)."
03.01.2021 21:23	Selenokhod	Wichtiges Thema	"Leider aber nicht verständlich für den Leser aufbereitet sondern offensichtlich für das eigene Ego verfasst. Deshalb lohnt es sich eigentlich nicht wirklich, auf den Inhalt einzugehen.Trotzdem ein paar kleine Anmerkungen:-Die einheitliche Darstellung aller irgendwie vorhandener Kritiker im Rahmen der gegenwärtigen Krise ist viel zu undifferenziert. Das zieht sich durch die gesamte Berichterstattung und ist nicht allein ein Problem dieses Artikels. Es gibt Kritiker, die halten einzelne Maßnahmen für überzogen, andere glauben überhaupt nicht an ein Virus, andere sehen vielleicht nur die Impfung kritisch und wieder andere fürchten einfach um ihre wirtschaftliche Existenz oder um die Ausbildung ihrer Kinder. Das ist keine geschlossene ""Front"" sondern eine sehr heterogene Ansammlung unterschiedlichster Leute (und nur ein winziger Teil davon würde je auf die Idee kommen an einer Demo teilzunehmen).-Nicht jede Kritik an Einzelmaßnahmen kann man pauschal als ""unsolidarisch"" darstellen. Viele Menschen sind massiv in ihrer wirtschaftlichen Existenz betroffen und hier muss ein gewisser Interessensausgleich stattfinden. Zusätzliche Maßnahmen aus dem warmen Homeoffice bei vollem Gehalt zu beklatschen ist nicht sonderlich schwierig.-Wenn ich jede staatliche Maßnahme als notwendigen Akt der Solidarität betrachte delegitimiere ich eigentlich pauschal jeden Protest (nicht nur bei Corona). Nur um mal ein Beispiel zu bringen: In den frühen Phasen der Studentenproteste gingen Tausende auf die Straße um gegen die ""Notstandsgesetze"" zu protestieren. Letztere waren ja teilweise auch staatliche Maßnahmen um im Krisen- und V-Fall Menschenleben zu schützen. Da kann ich eigentlich genauso mit ""mangelnder Solidarität"" argumentieren.-Staatliches Handeln ist immer ein Interessenskonflikt zwischen Individual- und Gemeininteressen. Dafür gibt es Verwaltungs- und Sozialgerichte und die sind ziemlich gut ausgelastet um genau in diesen Konfliktfällen zu entscheiden.-Staatliches Handeln ist auch in einer Republik leider nicht immer am Gemeinwohl ausgerichtet, sondern folgt auch anderen Interessen. Allein das macht bereits eine Kritik nötig.IMO wird das Wort ""unsolidarisch"" heute gerne also Pauschalkeule gegen unerwünschte Kritik verwendet. Moderne, demokratische Staaten zeichnen sich aber gerade gegenüber anderen Staatsmodellen aus, dass sie die Rechte des Individuums schützen. Auch wenn das heute scheinbar nicht mehr so schick ist...."
07.01.2021 13:05	Selenokhod	Tipp: Shelter auf Android	"Wer unbedingt WhatsApp nutzen ""muss"" kann die Anwendung mit der App Shelter (Android) in eine Sandbox stecken. Dort wird auch auf privaten Geräten ein Android ""work"" Profile erstellt und WhatsApp bekommt nur Zugriff auf die dort verfügbaren Daten. Auf diese Weise kann man sein gewöhnliches Adressbuch vor der App abschirmen (ich persönlich traue der Kontaktfreigabe nicht) und z.B. nur die wirklich notwendigen WhatsApp Kontakte in der Sandbox vorhalten."
21.12.2020 15:29	Selenokhod	Steuereinnahmen brechen weg...	"Der Hauptgrund für diese Entscheidung dürfte in den wegbrechenden Steuereinnahmen zu finden sein. Der Staat braucht Geld...so einfach ist das. Und warum dieses nicht gleich von der Logistik- und Onlinewirtschaft holen? Die hat es ja...Was mich ein wenig an dieser Idee verwundert: Warum senke ich erst die Umsatzsteuer um dann über die Paketabgabe Einkäufe wieder teurer zu machen?Zudem haben die meisten ja gegenwärtig gar keine Alternative zum Onlinekauf. Damit helfe ich den Innenstädten erst einmal wenig. Denen kann ich nur helfen, indem ich ihnen gestatte ihre Geschäfte wieder zu öffnen.Die meisten denken beim Einkaufen online auch an den Händler mit ""A"". Warum aber schade ich jetzt kleinen und innovativen Onlinehändlern? Ja selbst klassischen Händlern, die einfach auf ""online"" umgestiegen sind?Am Ende frage ich mich auch ob man hier nicht ein kaputtes Geschäftsmodell unterstützt. Mal ehrlich...es gibt tolle Geschäfte in den Innenstädten. Aber das klassische Kaufhaus hatte bereits vor Corona massiv mit Problemen zu kämpfen."
21.12.2020 19:10	Selenokhod	Bereits in Belgien und Italien	"Der neue Stamm ist bereits in Belgien und Italien nachgewiesen worden:https://www.en24news.com/world/en/2020/12/the-new-strain-of-covid-19-has-been-detected-in-belgium-and-australiaen.htmlhttps://www.aninews.in/news/world/asia/italy-detects-new-mutated-covid-19-strain-in-uk-returnee20201221020434/Weitere Quellen lassen sich finden. In Belgien soll die neue Variante schon seit Monaten nachgewiesen sein ohne dass es irgendwelche Konsequenzen gehabt hat.Neu ist, dass dieser Stamm in Teilen von UK inzwischen dominiert und andere Varianten verdraengt hat.Das Schliessen der Grenzen (""Belgien prescht vor"") ist wahrscheinlich eher Aktionismus oder irgendeine Form von Brexitverhandlungsmasse..."
